Street Address,County Name,City,Store Name,State,Zip_Code,Ownership Type
180 Cabela Drive,WAKE,GARNER,Hwy 70 & Jones Sausage Rd,NC,27529,Company Owned
425 Cox Rd,GASTON,GASTONIA,Target Gastonia T-2565,NC,28054,Licensed
3350 Robinwood Dr,GASTON,GASTONIA,Harris Teeter Gastonia # 281,NC,28054,Licensed
420 Cox Road,GASTON,GASTONIA,Cox Rd & I-85,NC,28054,Company Owned
1204 Sunburst Dr,WAYNE,GOLDSBORO,Target Goldsboro T-964,NC,27534,Licensed
"2116-A Wayne Memorial Dr, Berkley Mall",WAYNE,GOLDSBORO,Wayne Memorial Dr & Hwy 70,NC,27534,Company Owned
603 North Berkeley Blvd,WAYNE,GOLDSBORO,Goldsboro,NC,27534,Company Owned
4010 Battleground Ave,GUILFORD,GREENSBORO,Harris Teeter Greensboro 280,NC,27410,Licensed
3330 W. Friendly Ave.,GUILFORD,GREENSBORO,Friendly - HT,NC,27410,Company Owned
4016 Battleground Ave,GUILFORD,GREENSBORO,Battlegrnd Ave & Horse Pen Crk Rd,NC,27410,Company Owned
"1562 Highwoods Blvd, Suite C",GUILFORD,GREENSBORO,Jefferson Village,NC,27410,Company Owned
"1628 Highwoods Blvd, Elmsley Square Shopping Center",GUILFORD,GREENSBORO,Target Greensboro West T-2108,NC,27410,Licensed
"3326 W. Friendly Ave., #137, Colonial Shoppes at Quaker Shopping Cntr",GUILFORD,GREENSBORO,Teavana - Friendly Center,NC,27410,Company Owned
5607 W Friendly Ave,GUILFORD,GREENSBORO,Guilford College,NC,27410,Company Owned
"701 Frances King St, Four Seasons Town Centre Mall",GUILFORD,GREENSBORO,Harris Teeter Greensboro #33,NC,27410,Licensed
"1212 Bridford Pkwy, Jefferson Village",GUILFORD,GREENSBORO,Target Greensboro South T-1078,NC,27407,Licensed
5710 W Gate City Blvd,GUILFORD,GREENSBORO,Harris Teeter Greensboro # 64,NC,27407,Licensed
"400 Four Seasons Town Centre, Space #1K5-A, Patriots Place Shopping Center",GUILFORD,GREENSBORO,Four Seasons Towne Centre,NC,27407,Company Owned
"3711 Elmsley Street, Suite 108, Friendly Center",GUILFORD,GREENSBORO,South Elm & I-85,NC,27406,Company Owned
401 Pisguah Church Rd,GUILFORD,GREENSBORO,Harris Teeter-Greensboro #91,NC,27455,Licensed
505 Pisgah Church Road,GUILFORD,GREENSBORO,Patriots Place,NC,27455,Company Owned
1000 Ted Johnson Pkwy,GUILFORD,GREENSBORO,GSO - North Concourse,NC,27409,Licensed
